ds,present,level,inflow,outflow,rain
2011-01-01,42.72250791703641,119.62528117300785,6457.088236118796,6461.204010011693,2.053630561642393
2011-01-02,42.683158292653395,119.59023171121238,6450.8152177730235,6455.755092870734,2.053784509513878
2011-01-03,42.64380866827038,119.55518224941692,6444.542199427251,6450.3061757297755,2.0539384573853634
2011-01-04,42.60445904388737,119.52013278762146,6438.269181081479,6444.857258588817,2.0540924052568483
2011-01-05,42.565109419504346,119.485083325826,6431.996162735707,6439.408341447858,2.0542463531283337
2011-01-06,42.52575979512133,119.45003386403054,6425.723144389934,6433.9594243069,2.054400300999819
2011-01-07,42.48641017073831,119.41498440223508,6419.450126044162,6428.510507165941,2.0545542488713044
2011-01-08,42.447060546355296,119.37993494043961,6413.1771076983905,6423.061590024982,2.0547081967427894
2011-01-09,42.40771092197228,119.34488547864416,6406.904089352617,6417.612672884024,2.0548621446142747
2011-01-10,42.36836129758927,119.30983601684869,6400.631071006846,6412.163755743065,2.0550160924857597
2011-01-11,42.32901167320625,119.27478655505323,6394.358052661073,6406.714838602106,2.055170040357245
2011-01-12,42.28966204882324,119.23973709325777,6388.0850343153,6401.265921461148,2.0553239882287304
2011-01-13,42.25031242444022,119.2046876314623,6381.812015969528,6395.817004320189,2.055477936100216
2011-01-14,42.2109628000572,119.16963816966684,6375.538997623756,6390.36808717923,2.0556318839717007
2011-01-15,42.17161317567419,119.13458870787139,6369.265979277984,6384.919170038272,2.055785831843186
2011-01-16,42.132263551291175,119.09953924607592,6362.992960932212,6379.470252897313,2.055939779714671
2011-01-17,42.09291392690816,119.06448978428045,6356.71994258644,6374.021335756354,2.0560937275861564
2011-01-18,42.053564302525146,119.029440322485,6350.446924240667,6368.572418615396,2.0562476754576418
2011-01-19,42.014214678142125,118.99439086068953,6344.173905894894,6363.123501474437,2.056401623329127
2011-01-20,41.97486505375911,118.95934139889407,6337.900887549123,6357.674584333478,2.056555571200612
2011-01-21,41.93551542937609,118.92429193709862,6331.62786920335,6352.22566719252,2.0567095190720974
2011-01-22,41.896165804993075,118.88924247530315,6325.354850857578,6346.776750051561,2.0568634669435824
2011-01-23,41.85681618061006,118.85419301350768,6319.081832511806,6341.327832910602,2.0570174148150677
2011-01-24,41.817466556227046,118.81914355171223,6312.808814166034,6335.878915769644,2.057171362686553
2011-01-25,41.77811693184403,118.78409408991675,6306.535795820261,6330.429998628685,2.0573253105580385
2011-01-26,41.73876730746102,118.7490446281213,6300.262777474489,6324.981081487726,2.0574792584295234
2011-01-27,41.699417683078,118.71399516632583,6293.989759128716,6319.532164346768,2.0576332063010088
2011-01-28,41.66006805869498,118.67894570453036,6287.716740782944,6314.083247205809,2.0577871541724937
2011-01-29,41.62071843431197,118.64389624273491,6281.443722437172,6308.6343300648505,2.057941102043979
2011-01-30,41.581368809928954,118.60884678093944,6275.1707040914,6303.185412923892,2.0580950499154644
2011-01-31,41.54201918554593,118.57379731914398,6268.897685745627,6297.736495782933,2.05824899778695
2011-02-01,41.50266956116292,118.53874785734853,6262.624667399856,6292.2875786419745,2.0584029456584347
2011-02-02,41.463319936779904,118.50369839555306,6256.351649054083,6286.838661501016,2.05855689352992
2011-02-03,41.42397031239689,118.46864893375759,6250.078630708311,6281.389744360057,2.058710841401405
2011-02-04,41.38462068801387,118.43359947196214,6243.805612362538,6275.9408272190985,2.058864789272891
2011-02-05,41.345271063630854,118.39855001016667,6237.532594016766,6270.49191007814,2.0590187371443758
2011-02-06,41.30592143924784,118.3635005483712,6231.259575670993,6265.042992937181,2.059172685015861
2011-02-07,41.266571814864825,118.32845108657575,6224.986557325222,6259.594075796223,2.059326632887346
2011-02-08,41.22722219048181,118.29340162478029,6218.713538979449,6254.145158655264,2.0594805807588314
2011-02-09,41.1878725660988,118.25835216298482,6212.440520633677,6248.696241514305,2.0596345286303164
2011-02-10,41.14852294171578,118.22330270118937,6206.167502287905,6243.247324373347,2.059788476501802
2011-02-11,41.10917331733276,118.1882532393939,6199.894483942133,6237.798407232387,2.059942424373287
2011-02-12,41.06982369294974,118.15320377759843,6193.62146559636,6232.349490091428,2.0600963722447725
2011-02-13,41.030474068566726,118.11815431580298,6187.348447250588,6226.90057295047,2.0602503201162574
2011-02-14,40.99112444418371,118.08310485400752,6181.075428904815,6221.451655809511,2.060404267987743
2011-02-15,40.9517748198007,118.04805539221206,6174.802410559043,6216.002738668552,2.060558215859228
2011-02-16,40.91242519541768,118.0130059304166,6168.529392213271,6210.553821527594,2.0607121637307135
2011-02-17,40.87307557103467,117.97795646862113,6162.256373867499,6205.104904386635,2.0608661116021985
2011-02-18,40.833725946651654,117.94290700682568,6155.983355521727,6199.655987245676,2.061020059473684
2011-02-19,40.79437632226863,117.90785754503021,6149.710337175955,6194.207070104718,2.0611740073451688
2011-02-20,40.75502669788562,117.87280808323474,6143.4373188301815,6188.758152963759,2.061327955216654
2011-02-21,40.715677073502604,117.83775862143929,6137.16430048441,6183.3092358228005,2.0614819030881395
2011-02-22,40.67632744911958,117.80270915964383,6130.8912821386375,6177.860318681842,2.0616358509596244
2011-02-23,40.63697782473657,117.76765969784836,6124.618263792865,6172.411401540883,2.06178979883111
2011-02-24,40.597628200353554,117.7326102360529,6118.3452454470935,6166.9624843999245,2.0619437467025947
2011-02-25,40.55827857597054,117.69756077425744,6112.072227101321,6161.513567258966,2.06209769457408
2011-02-26,40.518928951587526,117.66251131246197,6105.7992087555485,6156.064650118007,2.062251642445565
2011-02-27,40.479579327204505,117.62746185066652,6099.526190409776,6150.6157329770485,2.062405590317051
2011-02-28,40.44022970282149,117.59241238887105,6093.253172064004,6145.16681583609,2.0625595381885358
2011-03-01,40.400880078438476,117.55736292707559,6086.980153718231,6139.717898695131,2.062713486060021
2011-03-02,40.36153045405546,117.52231346528013,6080.70713537246,6134.268981554173,2.062867433931506
2011-03-03,40.32218082967245,117.48726400348467,6074.434117026687,6128.820064413214,2.0630213818029914
2011-03-04,40.28283120528943,117.4522145416892,6068.161098680915,6123.371147272255,2.063175329674477
2011-03-05,40.24348158090641,117.41716507989375,6061.888080335143,6117.922230131297,2.063329277545962
2011-03-06,40.20413195652339,117.38211561809828,6055.615061989371,6112.473312990338,2.063483225417447
2011-03-07,40.164782332140376,117.34706615630283,6049.342043643598,6107.024395849379,2.0636371732889325
2011-03-08,40.12543270775736,117.31201669450736,6043.069025297826,6101.575478708421,2.0637911211604174
2011-03-09,40.08608308337435,117.2769672327119,6036.796006952053,6096.126561567462,2.063945069031903
2011-03-10,40.04673345899133,117.24191777091644,6030.522988606282,6090.677644426503,2.064099016903388
2011-03-11,40.00738383460832,117.20686830912098,6024.249970260509,6085.228727285545,2.0642529647748735
2011-03-12,39.968034210225305,117.1718188473255,6017.976951914737,6079.779810144586,2.0644069126463584
2011-03-13,39.928684585842284,117.13676938553004,6011.703933568965,6074.330893003627,2.064560860517844
2011-03-14,39.88933496145927,117.10171992373458,6005.430915223193,6068.881975862669,2.0647148083893287
2011-03-15,39.849985337076255,117.06667046193911,5999.15789687742,6063.43305872171,2.064868756260814
2011-03-16,39.81063571269324,117.03162100014366,5992.884878531648,6057.984141580751,2.0650227041322995
2011-03-17,39.77128608831023,116.99657153834819,5986.611860185875,6052.535224439793,2.065176652003785
